ID	Gene Name	Species	DISGENET
PRDX3	peroxiredoxin 3(PRDX3)	Homo sapiens	C0001787~Osteoporosis, Age-Related,C0029456~Osteoporosis,C0029459~Osteoporosis, Senile,C0079744~Diffuse Large B-Cell Lymphoma,C0085084~Motor Neuron Disease,C0154681~Anterior Horn Cell Disease,C0154682~Lateral Sclerosis,C0235874~Disease Exacerbation,C0270763~Familial Motor Neuron Disease,C0270764~Motor Neuron Disease, Lower,C0521659~Motor Neuron Disease, Upper,C0543858~Motor Neuron Disease, Secondary,C0751406~Post-Traumatic Osteoporosis,
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1(PMAIP1)	Homo sapiens	C0013146~Drug abuse,C0013170~Drug habituation,C0013222~Drug Use Disorders,C0023434~Chronic Lymphocytic Leukemia,C0029231~Organic Mental Disorders, Substance-Induced,C0038580~Substance Dependence,C0038586~Substance Use Disorders,C0236969~Substance-Related Disorders,C0740858~Substance abuse problem,C1510472~Drug Dependence,C4316881~Prescription Drug Abuse,
PGD	phosphogluconate dehydrogenase(PGD)	Homo sapiens	C2239176~Liver carcinoma,
PLD3	phospholipase D family member 3(PLD3)	Homo sapiens	C4540404~SPINOCEREBELLAR ATAXIA 46,
PRPS1	phosphoribosyl pyrophosphate synthetase 1(PRPS1)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0009402~Colorectal Carcinoma,C0043094~Weight Gain,C0796028~ATAXIA, FATAL X-LINKED, WITH DEAFNESS AND LOSS OF VISION,C0854723~Retinal Dystrophies,C1384666~hearing impairment,C1839566~CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 5,C1844677~DEAFNESS, X-LINKED 1 (disorder),C1970827~Phosphoribosylpyrophosphate Synthetase Superactivity,
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase(GART)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0152013~Adenocarcinoma of lung (disorder),
PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)	Homo sapiens	C0036341~Schizophrenia,C0265219~Miller Dieker syndrome,C0266463~Lissencephaly,C0266483~Pachygyria,C0431375~Classical Lissencephaly,C0596263~Carcinogenesis,C1848201~Subcortical Band Heterotopia,C1879312~Agyria,C2750748~Chromosome 17p13.3 Duplication Syndrome,
PABPN1	poly(A) binding protein nuclear 1(PABPN1)	Homo sapiens	C0270952~Muscular Dystrophy, Oculopharyngeal,
PQBP1	polyglutamine binding protein 1(PQBP1)	Homo sapiens	C0009402~Colorectal Carcinoma,C0009917~Contracture,C0018273~Growth Disorders,C0018817~Atrial Septal Defects,C0025958~Microcephaly,C0025990~Micrognathism,C0026838~Muscle Spasticity,C0031192~Persistent Ostium Primum,C0037773~Spastic Paraplegia, Hereditary,C0240543~Bulbous nose,C0344724~Ostium secundum atrial septal defect,C0431368~Partial agenesis of corpus callosum,C0751602~Hereditary Autosomal Dominant Spastic Paraplegia,C0751603~Autosomal Recessive Hereditary Spastic Paraplegia,C0751604~Hereditary X-Linked Recessive Spastic Paraplegia,C0751605~X-Linked, Spastic Paraplegia, Hereditary,C0796135~Renpenning syndrome 1,C1136249~Mental Retardation, X-Linked,C1956147~Microlissencephaly,C3714756~Intellectual Disability,C3853041~Severe Congenital Microcephaly,C4553743~Spasticity, CTCAE,C4721916~HMSN Type V,
PRPF6	pre-mRNA processing factor 6(PRPF6)	Homo sapiens	C0015397~Disorder of eye,C0035334~Retinitis Pigmentosa,C3151434~RETINITIS PIGMENTOSA 60,
PDCD2	programmed cell death 2(PDCD2)	Homo sapiens	C0011573~Endogenous depression,
PDCD6IP	programmed cell death 6 interacting protein(PDCD6IP)	Homo sapiens	C0029408~Degenerative polyarthritis,C0086743~Osteoarthrosis Deformans,
PDCD6	programmed cell death 6(PDCD6)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0011573~Endogenous depression,
PSMB1	proteasome 20S subunit beta 1(PSMB1)	Homo sapiens	C0029408~Degenerative polyarthritis,C0086743~Osteoarthrosis Deformans,C0948089~Acute Coronary Syndrome,C4721453~Peripheral Nervous System Diseases,
PSMB8	proteasome 20S subunit beta 8(PSMB8)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C1850568~Nakajo syndrome,C3860213~Autoinflammatory disorder,C4746851~PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1,
PSMB9	proteasome 20S subunit beta 9(PSMB9)	Homo sapiens	C0001197~Acrodermatitis,C0023893~Liver Cirrhosis, Experimental,C0263372~Gianotti-Crosti Syndrome,C1850568~Nakajo syndrome,C4747850~PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 3,
PSMC3	proteasome 26S subunit, ATPase 3(PSMC3)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
PSMD3	proteasome 26S subunit, non-ATPase 3(PSMD3)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
PSMD8	proteasome 26S subunit, non-ATPase 8(PSMD8)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
PSME3	proteasome activator subunit 3(PSME3)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
POMP	proteasome maturation protein(POMP)	Homo sapiens	C0206368~Exfoliation Syndrome,C1866029~Keratosis Linearis with Ichthyosis Congenita and Sclerosing Keratoderma,C4747989~PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 2,
PRKCH	protein kinase C eta(PRKCH)	Homo sapiens	C0007785~Cerebral Infarction,C0013146~Drug abuse,C0013170~Drug habituation,C0013222~Drug Use Disorders,C0028754~Obesity,C0029231~Organic Mental Disorders, Substance-Induced,C0038580~Substance Dependence,C0038586~Substance Use Disorders,C0236969~Substance-Related Disorders,C0740858~Substance abuse problem,C0751010~Cerebral Infarction, Left Hemisphere,C0751011~Cerebral Infarction, Right Hemisphere,C0751012~Anterior Choroidal Artery Infarction,C0751014~Subcortical Infarction,C0887799~Posterior Choroidal Artery Infarction,C1319315~Adenocarcinoma of large intestine,C1510472~Drug Dependence,C4316881~Prescription Drug Abuse,
PRKCQ	protein kinase C theta(PRKCQ)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0011854~Diabetes Mellitus, Insulin-Dependent,C0035305~Retinal Detachment,C0079773~Lymphoma, T-Cell, Cutaneous,C0205734~Diabetes, Autoimmune,C0339546~Retinal Pigment Epithelial Detachment,C0342302~Brittle diabetes,C0376407~Granulomatous Slack Skin,C1319315~Adenocarcinoma of large intestine,C3837958~Diabetes Mellitus, Ketosis-Prone,C4554117~Diabetes Mellitus, Sudden-Onset,
PPP1CB	protein phosphatase 1 catalytic subunit beta(PPP1CB)	Homo sapiens	C0028326~Noonan Syndrome,C0175704~LEOPARD Syndrome,C0587248~Costello syndrome (disorder),C1275081~Cardio-facio-cutaneous syndrome,C1843181~Noonan syndrome-like disorder with loose anagen hair,C3501846~Noonan-Like Syndrome With Loose Anagen Hair,C4479577~NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR 2,
PPP2CA	protein phosphatase 2 catalytic subunit alpha(PPP2CA)	Homo sapiens	C0004096~Asthma,C0018799~Heart Diseases,C0023015~Language Disorders,C0026827~Muscle hypotonia,C0036572~Seizures,C0151744~Myocardial Ischemia,C0232466~Feeding difficulties,C0557874~Global developmental delay,C3714756~Intellectual Disability,C4022810~Abnormality of nervous system morphology,
PPP2R2A	protein phosphatase 2 regulatory subunit Balpha(PPP2R2A)	Homo sapiens	C0013990~Pathological accumulation of air in tissues,C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C1257806~Chromosomal Instability,C1449861~Micronuclei, Chromosome-Defective,C1449862~Micronuclei, Genotoxicant-Induced,
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha(PPP2R1A)	Homo sapiens	C0024623~Malignant neoplasm of stomach,C0029408~Degenerative polyarthritis,C0038356~Stomach Neoplasms,C0086743~Osteoarthrosis Deformans,C0235874~Disease Exacerbation,C1708349~Hereditary Diffuse Gastric Cancer,C3544205~Ovarian clear cell carcinoma,C3714756~Intellectual Disability,C4225352~MENTAL RETARDATION, AUTOSOMAL DOMINANT 36,
PPP3CC	protein phosphatase 3 catalytic subunit gamma(PPP3CC)	Homo sapiens	C0005586~Bipolar Disorder,C0005684~Malignant neoplasm of urinary bladder,C0005695~Bladder Neoplasm,C0011570~Mental Depression,C0011581~Depressive disorder,C0033975~Psychotic Disorders,C0036341~Schizophrenia,C0349204~Nonorganic psychosis,
PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G(PPM1G)	Homo sapiens	C0001956~Alcohol Use Disorder,
PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K(PPM1K)	Homo sapiens	C0024776~Maple Syrup Urine Disease,C0268568~Classic Maple Syrup Urine Disease,C0268569~Intermittent Maple Syrup Urine Disease,C0751285~Maple Syrup Urine Disease, Thiamine Responsive,C1621920~Intermediate Maple Syrup Urine Disease,C3554575~MAPLE SYRUP URINE DISEASE, MILD VARIANT,
PTPN1	protein tyrosine phosphatase non-receptor type 1(PTPN1)	Homo sapiens	C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0019829~Hodgkin Disease,C0020459~Hyperinsulinism,C0020538~Hypertensive disease,C0021368~Inflammation,C0021655~Insulin Resistance,C0023893~Liver Cirrhosis, Experimental,C0025063~Mediastinal Neoplasms,C0028754~Obesity,C0035372~Rett Syndrome,C0036341~Schizophrenia,C0079731~B-Cell Lymphomas,C0152266~Mixed Cellularity Hodgkin Lymphoma,C0152267~Hodgkin lymphoma, lymphocyte depletion,C0153504~Malignant tumor of mediastinum,C0220597~Adult Hodgkin Lymphoma,C0920563~Insulin Sensitivity,C1257963~Endogenous Hyperinsulinism,C1257964~Exogenous Hyperinsulinism,C1257965~Compensatory Hyperinsulinemia,C1266194~Lymphocyte Rich Classical Hodgkin Lymphoma,C1334968~Nodular Lymphocyte Predominant Hodgkin Lymphoma,
PTPN2	protein tyrosine phosphatase non-receptor type 2(PTPN2)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0009324~Ulcerative Colitis,C0010346~Crohn Disease,C0023492~Leukemia, T-Cell,C0156147~Crohn's disease of large bowel,C0267380~Crohn's disease of the ileum,C0678202~Regional enteritis,C0949272~IIeocolitis,C1961099~Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,C2931171~Juvenile pauciarticular chronic arthritis,
PNP	purine nucleoside phosphorylase(PNP)	Homo sapiens	C0001787~Osteoporosis, Age-Related,C0019193~Hepatitis, Toxic,C0029456~Osteoporosis,C0029459~Osteoporosis, Senile,C0268125~Purine-nucleoside phosphorylase deficiency,C0274861~Arsenic Poisoning, Inorganic,C0274862~Nervous System, Organic Arsenic Poisoning,C0311375~Arsenic Poisoning,C0494261~Combined immunodeficiency,C0751406~Post-Traumatic Osteoporosis,C0751851~Arsenic Encephalopathy,C0751852~Arsenic Induced Polyneuropathy,C0860207~Drug-Induced Liver Disease,C1262760~Hepatitis, Drug-Induced,C3658290~Drug-Induced Acute Liver Injury,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,
PYHIN1	pyrin and HIN domain family member 1(PYHIN1)	Homo sapiens	C0004096~Asthma,C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,
RGS1	regulator of G protein signaling 1(RGS1)	Homo sapiens	C0011581~Depressive disorder,C0029463~Osteosarcoma,C0037274~Dermatologic disorders,C0162820~Dermatitis, Allergic Contact,C0274861~Arsenic Poisoning, Inorganic,C0274862~Nervous System, Organic Arsenic Poisoning,C0311375~Arsenic Poisoning,C0751851~Arsenic Encephalopathy,C0751852~Arsenic Induced Polyneuropathy,
RGS10	regulator of G protein signaling 10(RGS10)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
RGS2	regulator of G protein signaling 2(RGS2)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0020538~Hypertensive disease,C0023467~Leukemia, Myelocytic, Acute,C0023893~Liver Cirrhosis, Experimental,C0024623~Malignant neoplasm of stomach,C0026998~Acute Myeloid Leukemia, M1,C0030569~Secondary Parkinson Disease,C0036341~Schizophrenia,C0038356~Stomach Neoplasms,C0678222~Breast Carcinoma,C0751414~Parkinson Disease, Secondary Vascular,C0751415~Atherosclerotic Parkinsonism,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1708349~Hereditary Diffuse Gastric Cancer,C1879321~Acute Myeloid Leukemia (AML-M2),C4704874~Mammary Carcinoma, Human,
RPA1	replication protein A1(RPA1)	Homo sapiens	C0263454~Chloracne,
RTN4	reticulon 4(RTN4)	Homo sapiens	C0009402~Colorectal Carcinoma,C0023893~Liver Cirrhosis, Experimental,C0036341~Schizophrenia,
RDH11	retinol dehydrogenase 11(RDH11)	Homo sapiens	C4015242~RETINAL DYSTROPHY, JUVENILE CATARACTS, AND SHORT STATURE SYNDROME,
RNASET2	ribonuclease T2(RNASET2)	Homo sapiens	C0006111~Brain Diseases,C0018213~Graves Disease,C0024121~Lung Neoplasms,C0085584~Encephalopathies,C0242379~Malignant neoplasm of lung,C2751843~Leukoencephalopathy, Cystic, Without Megalencephaly,C3714756~Intellectual Disability,
RNF114	ring finger protein 114(RNF114)	Homo sapiens	C0030246~Pustulosis of Palms and Soles,C0033860~Psoriasis,
RNF115	ring finger protein 115(RNF115)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
RNF149	ring finger protein 149(RNF149)	Homo sapiens	C0006142~Malignant neoplasm of breast,
RNF168	ring finger protein 168(RNF168)	Homo sapiens	C2677792~Riddle Syndrome,
RNF41	ring finger protein 41(RNF41)	Homo sapiens	C0005586~Bipolar Disorder,C0041696~Unipolar Depression,C1269683~Major Depressive Disorder,
SLMAP	sarcolemma associated protein(SLMAP)	Homo sapiens	C1142166~Brugada Syndrome (disorder),
SELPLG	selectin P ligand(SELPLG)	Homo sapiens	C1862939~AMYOTROPHIC LATERAL SCLEROSIS 1,C1862941~Amyotrophic Lateral Sclerosis, Sporadic,C4551993~Amyotrophic Lateral Sclerosis, Familial,
SRSF3	serine and arginine rich splicing factor 3(SRSF3)	Homo sapiens	C0005586~Bipolar Disorder,
SRSF9	serine and arginine rich splicing factor 9(SRSF9)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
STK10	serine/threonine kinase 10(STK10)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C1336708~Testicular Germ Cell Tumor,
SPN	sialophorin(SPN)	Homo sapiens	C0006663~Calcinosis,C0018824~Heart valve disease,C0263628~Tumoral calcinosis,C0521174~Microcalcification,
STAT5B	signal transducer and activator of transcription 5B(STAT5B)	Homo sapiens	C0007117~Basal cell carcinoma,C0023487~Acute Promyelocytic Leukemia,C0023494~Leukemia, T-Cell, Chronic,C0038002~Splenomegaly,C0079772~T-Cell Lymphoma,C0079773~Lymphoma, T-Cell, Cutaneous,C0376407~Granulomatous Slack Skin,C0392788~Nasal Type Extranodal NK/T-Cell Lymphoma,C0456889~Enteropathy-Associated T-Cell Lymphoma,C0494261~Combined immunodeficiency,C1522378~Leukemia, Large Granular Lymphocytic,C1855548~Laron syndrome type 2,C1955860~Leukemia, Natural Killer Cell Large Granular Lymphocytic,C1955861~T-Cell Large Granular Lymphocyte Leukemia,C1955906~Lymphoma, Extranodal NK-T-Cell,C1961099~Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,C2363142~T-Cell Prolymphocytic Leukemia,C2931322~T-Lymphocytopenia,
STAM	signal transducing adaptor molecule(STAM)	Homo sapiens	C0009402~Colorectal Carcinoma,
SSBP1	single stranded DNA binding protein 1(SSBP1)	Homo sapiens	C0037274~Dermatologic disorders,C0274861~Arsenic Poisoning, Inorganic,C0274862~Nervous System, Organic Arsenic Poisoning,C0311375~Arsenic Poisoning,C0751851~Arsenic Encephalopathy,C0751852~Arsenic Induced Polyneuropathy,
SIRT2	sirtuin 2(SIRT2)	Homo sapiens	C0525045~Mood Disorders,C2939186~Disturbance in mood,
SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27(SNRNP27)	Homo sapiens	C0004238~Atrial Fibrillation,C0235480~Paroxysmal atrial fibrillation,C2585653~Persistent atrial fibrillation,C3468561~familial atrial fibrillation,
SNRNP200	small nuclear ribonucleoprotein U5 subunit 200(SNRNP200)	Homo sapiens	C0009402~Colorectal Carcinoma,C0015397~Disorder of eye,C0035334~Retinitis Pigmentosa,C1835895~RETINITIS PIGMENTOSA 33 (disorder),
SLC16A3	solute carrier family 16 member 3(SLC16A3)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0024623~Malignant neoplasm of stomach,C0038356~Stomach Neoplasms,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1708349~Hereditary Diffuse Gastric Cancer,C4704874~Mammary Carcinoma, Human,
SLC7A5	solute carrier family 7 member 5(SLC7A5)	Homo sapiens	C0024121~Lung Neoplasms,C0162820~Dermatitis, Allergic Contact,C0242379~Malignant neoplasm of lung,
SNX5	sorting nexin 5(SNX5)	Homo sapiens	C0024623~Malignant neoplasm of stomach,C0038356~Stomach Neoplasms,C0235874~Disease Exacerbation,C1708349~Hereditary Diffuse Gastric Cancer,
SPTAN1	spectrin alpha, non-erythrocytic 1(SPTAN1)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0023893~Liver Cirrhosis, Experimental,C0037769~West Syndrome,C0270715~Degenerative Diseases, Central Nervous System,C0524851~Neurodegenerative Disorders,C0751733~Degenerative Diseases, Spinal Cord,C3150731~EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 5,
S1PR1	sphingosine-1-phosphate receptor 1(S1PR1)	Homo sapiens	C0005586~Bipolar Disorder,C0007097~Carcinoma,C0023893~Liver Cirrhosis, Experimental,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C1257925~Mammary Carcinoma, Animal,C2936380~Neointima,C2936381~Neointima Formation,
SART3	spliceosome associated factor 3, U4/U6 recycling protein(SART3)	Homo sapiens	C0162839~Porokeratosis,C0265970~Porokeratosis, Disseminated Superficial Actinic,
STIP1	stress induced phosphoprotein 1(STIP1)	Homo sapiens	C0011581~Depressive disorder,C0025202~melanoma,
SDF2L1	stromal cell derived factor 2 like 1(SDF2L1)	Homo sapiens	C0000786~Spontaneous abortion,C0000822~Abortion, Tubal,C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C3830362~Early Pregnancy Loss,C4552766~Miscarriage,
SDHC	succinate dehydrogenase complex subunit C(SDHC)	Homo sapiens	C0018553~Hamartoma Syndrome, Multiple,C0030421~Paraganglioma,C0031511~Pheochromocytoma,C0206695~Carcinoma, Neuroendocrine,C0238198~Gastrointestinal Stromal Tumors,C0260037~Multiple tumors,C0751651~Mitochondrial Diseases,C1704374~Carcinoma of Endocrine Gland,C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome,C1847319~PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA,C1854336~PARAGANGLIOMAS 3,C1861848~PARAGANGLIOMAS 4,C3179349~Gastrointestinal Stromal Sarcoma,
SNAP29	synaptosome associated protein 29(SNAP29)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,C0036341~Schizophrenia,C1836033~Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome,
TSEN54	tRNA splicing endonuclease subunit 54(TSEN54)	Homo sapiens	C0011168~Deglutition Disorders,C0018975~Hemeralopia,C0020796~Profound Mental Retardation,C0025363~Mental Retardation, Psychosocial,C0025958~Microcephaly,C0026650~Movement Disorders,C0042790~Vision Disorders,C0233769~Micropsia,C0233771~Macropsia,C0266468~Congenital pontocerebellar hypoplasia,C0266487~Etat Marbre,C0267071~Oropharyngeal Dysphagia,C0267072~Esophageal Dysphagia,C0271185~Metamorphopsia,C0917816~Mental deficiency,C1843504~Pontocerebellar Hypoplasia Type 1,C1848526~Pontocerebellar Hypoplasia Type 2A,C1856974~PONTOCEREBELLAR HYPOPLASIA TYPE 4 (disorder),C1857762~Olivopontocerebellar hypoplasia, fetal-onset,C1956147~Microlissencephaly,C3489704~Vision Disability,C3665347~Visual Impairment,C3714756~Intellectual Disability,C3853041~Severe Congenital Microcephaly,
TTC3	tetratricopeptide repeat domain 3(TTC3)	Homo sapiens	C0006142~Malignant neoplasm of breast,
TXN2	thioredoxin 2(TXN2)	Homo sapiens	C0038219~Status Dysraphicus,C0080178~Spina Bifida,C0266508~Rachischisis,C4225200~COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 29,
TXNDC17	thioredoxin domain containing 17(TXNDC17)	Homo sapiens	C0279626~Squamous cell carcinoma of esophagus,
TMX2	thioredoxin related transmembrane protein 2(TMX2)	Homo sapiens	C0025958~Microcephaly,C0036572~Seizures,C0557874~Global developmental delay,C1856019~Abnormal cortical gyration,C3714756~Intellectual Disability,
TYMP	thymidine phosphorylase(TYMP)	Homo sapiens	C0005684~Malignant neoplasm of urinary bladder,C0005695~Bladder Neoplasm,C0007097~Carcinoma,C0007102~Malignant tumor of colon,C0009375~Colonic Neoplasms,C0009402~Colorectal Carcinoma,C0009404~Colorectal Neoplasms,C0024623~Malignant neoplasm of stomach,C0027627~Neoplasm Metastasis,C0030297~Pancreatic Neoplasm,C0038356~Stomach Neoplasms,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0270612~Leukoencephalopathy,C0279626~Squamous cell carcinoma of esophagus,C0346647~Malignant neoplasm of pancreas,C0872218~MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME,C1708349~Hereditary Diffuse Gastric Cancer,C1848586~Visceral myopathy familial external ophthalmoplegia,C2749864~MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (ENCEPHALOMYOPATHIC WITH OR WITHOUT METHYLMALONIC ACIDURIA),C4551995~Mitochondrial DNA Depletion Syndrome 1,
TLK1	tousled like kinase 1(TLK1)	Homo sapiens	C0010606~Adenoid Cystic Carcinoma,C0027643~Neoplasm Recurrence, Local,
TKT	transketolase(TKT)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,C0003129~Anoxemia,C0003130~Anoxia,C0007097~Carcinoma,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0027626~Neoplasm Invasiveness,C0043121~Wernicke Encephalopathy,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0242184~Hypoxia,C0700292~Hypoxemia,C1257925~Mammary Carcinoma, Animal,C4310751~SHORT STATURE, DEVELOPMENTAL DELAY, AND CONGENITAL HEART DEFECTS,
TMBIM1	transmembrane BAX inhibitor motif containing 1(TMBIM1)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
TMEM70	transmembrane protein 70(TMEM70)	Homo sapiens	C0033141~Cardiomyopathies, Primary,C0036529~Myocardial Diseases, Secondary,C0036572~Seizures,C0162666~Mitochondrial Encephalomyopathies,C0206669~Hepatocellular Adenoma,C0751651~Mitochondrial Diseases,C0878544~Cardiomyopathies,C2239176~Liver carcinoma,C3279699~Encephalocardiomyopathy, Mitochondrial, Neonatal, Due To Atp Synthase Deficiency,
TNRC6B	trinucleotide repeat containing adaptor 6B(TNRC6B)	Homo sapiens	C0032460~Polycystic Ovary Syndrome,C1136382~Sclerocystic Ovaries,C1535926~Neurodevelopmental Disorders,
TRIM22	tripartite motif containing 22(TRIM22)	Homo sapiens	C0021400~Influenza,
TWF1	twinfilin actin binding protein 1(TWF1)	Homo sapiens	C0024299~Lymphoma,
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon(YWHAE)	Homo sapiens	C0005586~Bipolar Disorder,C0027627~Neoplasm Metastasis,C0036341~Schizophrenia,C0206630~Endometrial Stromal Sarcoma,C0265219~Miller Dieker syndrome,C0334488~Clear cell sarcoma of kidney,C2750748~Chromosome 17p13.3 Duplication Syndrome,C4707092~Distal 17p13.3 microdeletion syndrome,
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta(YWHAQ)	Homo sapiens	C0029408~Degenerative polyarthritis,C0086743~Osteoarthrosis Deformans,
TDP2	tyrosyl-DNA phosphodiesterase 2(TDP2)	Homo sapiens	C0087012~Ataxia, Spinocerebellar,C0752120~Spinocerebellar Ataxia Type 1,C0752121~Spinocerebellar Ataxia Type 2,C0752122~Spinocerebellar Ataxia Type 4,C0752123~Spinocerebellar Ataxia Type 5,C0752124~Spinocerebellar Ataxia Type 6 (disorder),C0752125~Spinocerebellar Ataxia Type 7,C2973527~Dentinogenesis imperfecta without osteogenesis imperfecta,C4310780~SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 23,
UBE2L3	ubiquitin conjugating enzyme E2 L3(UBE2L3)	Homo sapiens	C0024141~Lupus Erythematosus, Systemic,C0524909~Hepatitis B, Chronic,
UHRF2	ubiquitin like with PHD and ring finger domains 2(UHRF2)	Homo sapiens	C0009402~Colorectal Carcinoma,
URM1	ubiquitin related modifier 1(URM1)	Homo sapiens	C0024623~Malignant neoplasm of stomach,C0038356~Stomach Neoplasms,C0235874~Disease Exacerbation,C1708349~Hereditary Diffuse Gastric Cancer,
UFC1	ubiquitin-fold modifier conjugating enzyme 1(UFC1)	Homo sapiens	C0025958~Microcephaly,C4748081~NEURODEVELOPMENTAL DISORDER WITH SPASTICITY AND POOR GROWTH,
UCP2	uncoupling protein 2(UCP2)	Homo sapiens	C0002152~Alloxan Diabetes,C0005586~Bipolar Disorder,C0007097~Carcinoma,C0007786~Brain Ischemia,C0011853~Diabetes Mellitus, Experimental,C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0015695~Fatty Liver,C0018800~Cardiomegaly,C0020459~Hyperinsulinism,C0020538~Hypertensive disease,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0028754~Obesity,C0036341~Schizophrenia,C0038433~Streptozotocin Diabetes,C0038454~Cerebrovascular accident,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0678306~alcohol sensitivity,C0751956~Acute Cerebrovascular Accidents,C0917798~Cerebral Ischemia,C1257925~Mammary Carcinoma, Animal,C1383860~Cardiac Hypertrophy,C1843898~BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4 (disorder),C2711227~Steatohepatitis,C4303082~Hyperinsulinism due to uncoupling protein 2 deficiency,
VMA21	vacuolar ATPase assembly factor VMA21(VMA21)	Homo sapiens	C1839615~X-linked myopathy with excessive autophagy,C2931230~Vacuolar myopathy,
VPS13C	vacuolar protein sorting 13 homolog C(VPS13C)	Homo sapiens	C4225186~PARKINSON DISEASE 23, AUTOSOMAL RECESSIVE EARLY-ONSET,
VAMP7	vesicle associated membrane protein 7(VAMP7)	Homo sapiens	C0343641~Human papilloma virus infection,C1168401~Squamous cell carcinoma of the head and neck,C4510744~46,XY partial gonadal dysgenesis,
